Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTC,UTM_easting,UTM_northing,Zone,Letter
1675981538.4310737,84,80738,0,GPS1_Frame,42.340091705322266,-71.08831024169922,0.0,0.0,22:25:38,327971.625,4689649.0,19.0,T
1675981539.146461,85,80739,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.400000095367432,1.2000000476837158,22:25:39,327971.625,4689649.0,19.0,T
1675981539.893194,86,80739,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:39,327971.625,4689649.0,19.0,T
1675981540.1469655,87,80740,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.5,1.2000000476837158,22:25:40,327971.625,4689649.0,19.0,T
1675981540.4319274,88,80740,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:40,327971.625,4689649.0,19.0,T
1675981541.1501184,89,80741,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.5,1.5,22:25:41,327971.625,4689649.0,19.0,T
1675981541.424734,90,80741,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:41,327971.625,4689649.0,19.0,T
1675981542.1487079,91,80742,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.599999904632568,1.5,22:25:42,327971.625,4689649.0,19.0,T
1675981542.4237897,92,80742,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:42,327971.625,4689649.0,19.0,T
1675981543.1580627,93,80743,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.599999904632568,1.5,22:25:43,327971.625,4689649.0,19.0,T
1675981543.4333012,94,80743,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:43,327971.625,4689649.0,19.0,T
1675981544.1515853,95,80744,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.599999904632568,1.5,22:25:44,327971.625,4689649.0,19.0,T
1675981544.8940983,96,80744,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:44,327971.625,4689649.0,19.0,T
1675981545.1588411,97,80745,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.599999904632568,1.100000023841858,22:25:45,327971.625,4689649.0,19.0,T
1675981545.4474869,98,80745,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:45,327971.625,4689649.0,19.0,T
1675981546.15849,99,80746,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.599999904632568,1.100000023841858,22:25:46,327971.625,4689649.0,19.0,T
1675981546.447262,100,80746,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:46,327971.625,4689649.0,19.0,T
1675981547.1584022,101,80747,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.699999809265137,1.100000023841858,22:25:47,327971.625,4689649.0,19.0,T
1675981547.4474103,102,80747,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:47,327971.625,4689649.0,19.0,T
1675981548.1560526,103,80748,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.699999809265137,1.100000023841858,22:25:48,327971.625,4689649.0,19.0,T
1675981548.4463632,104,80748,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:48,327971.625,4689649.0,19.0,T
1675981549.1639543,105,80749,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.699999809265137,1.100000023841858,22:25:49,327971.625,4689649.0,19.0,T
1675981549.9207492,106,80749,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:49,327971.625,4689649.0,19.0,T
1675981550.1572561,107,80750,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.800000190734863,1.100000023841858,22:25:50,327971.625,4689649.0,19.0,T
1675981550.4453762,108,80750,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:50,327971.625,4689649.0,19.0,T
1675981551.1633186,109,80751,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.800000190734863,1.100000023841858,22:25:51,327971.625,4689649.0,19.0,T
1675981551.4523785,110,80751,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:51,327971.625,4689649.0,19.0,T
1675981552.1629179,111,80752,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.900000095367432,1.100000023841858,22:25:52,327971.625,4689649.0,19.0,T
1675981552.4520867,112,80752,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:52,327971.625,4689649.0,19.0,T
1675981553.162735,113,80753,0,GPS1_Frame,42.340087890625,-71.08831024169922,7.900000095367432,1.100000023841858,22:25:53,327971.75,4689649.0,19.0,T
1675981553.4518008,114,80753,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:53,327971.75,4689649.0,19.0,T
1675981554.1568298,115,80754,0,GPS1_Frame,42.340087890625,-71.08831024169922,8.0,1.100000023841858,22:25:54,327971.75,4689649.0,19.0,T
1675981554.912547,116,80754,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:54,327971.75,4689649.0,19.0,T
1675981555.1637092,117,80755,0,GPS1_Frame,42.340087890625,-71.08831024169922,8.0,1.100000023841858,22:25:55,327971.75,4689649.0,19.0,T
1675981555.4519668,118,80755,0,GPS1_Frame,42.340087890625,-71.08831024169922,0.0,0.0,22:25:55,327971.75,4689649.0,19.0,T
1675981556.1630933,119,80756,0,GPS1_Frame,42.340087890625,-71.08831024169922,8.100000381469727,1.100000023841858,22:25:56,327971.75,4689649.0,19.0,T
